"rank";"wallet";"recommendation";"confidence";"cluster";"best_score";"score_submit_count";"first_score_submit_utc";"last_score_submit_utc";"daily_checkin_count";"first_daily_utc";"last_daily_utc";"funded_by";"funded_by_is_leaderboard_wallet";"first_incoming_eth";"first_incoming_utc";"first_contract_method";"first_contract_nonce";"first_contract_utc";"evidence_reason";"score_event_tx_hashes"
"1";"0x24Cd1c145C7f944A4E3AD71C2F8917071b45a63F";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"37806";"1";"2026-05-30 09:22:19";"2026-05-30 09:22:19";"1";"2026-05-30 09:04:43";"2026-05-30 09:04:43";"0x8DA7212f71C1b5BfBe1Bb8647B324086e7d7D0d7";"yes";"0.000095933464";"2026-05-30 09:03:37";"0xf54b14bd";"0";"2026-05-30 09:04:43";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x5fc644f30c070329a9b1fb157be9f030f74a9228e7ed837eef3472cbb8deff12"
"2";"0x82C1EFcE41f6dCB6Ac2A3aFA5f36bCd1Aa375a0f";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"35464";"1";"2026-05-30 10:00:41";"2026-05-30 10:00:41";"1";"2026-05-30 09:43:15";"2026-05-30 09:43:15";"0x7b21ef7D4bdba6Bb2B3931D1DaFd74594DF337E3";"yes";"0.000092462892";"2026-05-30 09:42:21";"0xf54b14bd";"0";"2026-05-30 09:43:15";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x1501f5a3c793194f30f022d9c1a231bb378d98fd6e8f9b4cb94cff3fa9ab31c0"
"3";"0x7b21ef7D4bdba6Bb2B3931D1DaFd74594DF337E3";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"35356";"2";"2026-05-30 09:41:15";"2026-05-30 09:41:21";"1";"2026-05-30 09:24:11";"2026-05-30 09:24:11";"0x24Cd1c145C7f944A4E3AD71C2F8917071b45a63F";"yes";"0.000094197181";"2026-05-30 09:23:05";"0xf54b14bd";"0";"2026-05-30 09:24:11";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0xeb964734313fa2738cb0013a2b9fb7096ad0749d448ccc78f2f53bc142d1cdf4 | 0xae2c4f4a8b6975b1a7f3b04e36d1f986ce099479f4ce92a27a9ff394cb536b86"
"4";"0x1c87c9B1a1776B60CD1ADa594901Ad86e69A225d";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"33996";"2";"2026-05-15 07:29:11";"2026-05-29 12:00:07";"1";"2026-05-29 11:43:11";"2026-05-29 11:43:11";"0x34072c93e013A4d7De0F0EC6555215130A0A1f1f";"yes";"0.000113618929";"2026-05-15 07:19:31";"0xaff0b297";"0";"2026-05-15 07:29:11";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x9fefd76bf18d6970d0693b322ff0a44c4b8f6ea1e065517e479874a953f8b72e | 0x9eb8d5654f0697825267ce0a8fbd41ce3dfa73447981d076425512aa1762900d"
"5";"0x203e47aAccE98a0Dc2cd1aa78227002F89FC72b9";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"32835";"2";"2026-05-16 11:15:03";"2026-05-29 12:37:17";"2";"2026-05-16 11:07:37";"2026-05-29 12:20:15";"0x8fF986A12c978f02ec620a5B783D9ccC71EAb6d9";"yes";"0.000109668637";"2026-05-16 10:57:33";"0xf54b14bd";"1";"2026-05-16 11:07:37";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x55fb159782e0f75b085fb16baf41f96f32f9728d4e4669e0e3e382f90d282f8f | 0x585adcb4bd87b69065494b1ce1e29161177e3d58e0ee4fe66fa53019d02ea893"
"6";"0x2db903ca511DCceF2D05B981cFF896785571CCEE";"REVIEW";"medium";"ADMIN_OR_MAIN_WALLET_LINK";"32818";"2";"2026-05-26 13:03:47";"2026-05-30 06:35:51";"2";"2026-05-26 12:45:33";"2026-05-30 06:19:45";"0xEb45918A1efC99C84Fa337E36A2F84317a9DE1b8";"yes";"0.000050000000";"2026-05-26 12:42:29";"0xf54b14bd";"1";"2026-05-26 12:45:33";"Funded by main/deployer-active wallet shortly before gameplay; not part of the main sybil chain.";"0xd140c946c0c10842706d1199fd5b8b3db33efd0c04bc2d80e62ba93f82c52ba9 | 0x601851a7292d2e017e0d6b5e7dac932e9acb9f923684b199201eed43cc778a6d"
"7";"0x8fF986A12c978f02ec620a5B783D9ccC71EAb6d9";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"32093";"3";"2026-05-15 12:34:45";"2026-05-29 12:17:43";"2";"2026-05-15 12:28:57";"2026-05-29 12:02:13";"0x7b8a60B83f8a03C972B05291af0Fb10ef61B0600";"yes";"0.000112021057";"2026-05-15 12:20:51";"0xf54b14bd";"0";"2026-05-15 12:28:57";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x76e7b212b877165c8945c011da1bd9bf288b91d25599080e9794d6c69e4a6190 | 0xf7ec9fa6d1cba5e69fe1c01a5dc7e4a207523dde2a0643293bae284142c0cd68 | 0x6b890196d0096dac2e7a621d80683f49bc1460ef377f40836112ae56158a8d8f"
"8";"0x9edE732E4f1040F08E73CAECc2e3ed8A5c38F958";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"31612";"1";"2026-05-30 08:46:51";"2026-05-30 08:46:51";"1";"2026-05-30 08:31:21";"2026-05-30 08:31:21";"0xc55438DCCf35087Bb3Ec0049CE232ff086b66DA9";"yes";"0.000098957919";"2026-05-30 08:30:45";"0xf54b14bd";"0";"2026-05-30 08:31:21";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0xb6620563ed588de3c2292d8a1279e12d25aac5d850a95bedbfeb44b856a3b95f"
"9";"0x7b8a60B83f8a03C972B05291af0Fb10ef61B0600";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"31290";"2";"2026-05-15 07:02:19";"2026-05-29 11:21:33";"1";"2026-05-29 04:23:43";"2026-05-29 04:23:43";"0xcc4305304D21FD9E8d0209FABA1F3945550C41a6";"no";"0.000120000000";"2026-05-15 07:01:09";"0xaff0b297";"1";"2026-05-15 07:02:19";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x40fd9eb2125bd9509ee65ed25341f27ec16cadb5ff30684ab040c9eac1cba939 | 0xfb76d6677a3582179d3b4f2fcec0598b08fe06cb5faf5ca3fa835b015468d8d4"
"10";"0x34072c93e013A4d7De0F0EC6555215130A0A1f1f";"DROP";"high";"SYBIL_CHAIN_MAY_15_30";"30964";"2";"2026-05-15 07:18:53";"2026-05-29 11:38:07";"1";"2026-05-29 11:23:15";"2026-05-29 11:23:15";"0x7b8a60B83f8a03C972B05291af0Fb10ef61B0600";"yes";"0.000114702035";"2026-05-15 07:04:45";"0xaff0b297";"0";"2026-05-15 07:18:53";"Linked funding chain, small gas transfers, fresh/low-nonce wallets, repeated score farming pattern.";"0x40a5e6655cfdffb91f85dc4b1f7d39da2784a52d19d83601b66b5813b9576c16 | 0x3f51f650b021521230a583e36711ac52bfee16c23756099e8617f05ec6e9a550"
